rank,nickname
1,oracle1
2,페이블
3,HydeeeeE
4,Daehu
5,루미날
6,고양이는고양고양
7,한동그라미
8,얼음고래
9,커리
10,까매베어
11,YoungTaek
12,이이이이이이이이
13,Cruiser1
14,빈틈
15,Blaster1
16,Deo
17,작살
18,지존성준
19,Horrific
20,정진호
21,NXA
22,왕초
23,Cnema
24,하리보초쿠바
25,실버실비아
26,X보이
27,음유잉여
28,인세인
29,똥덩어리쓰르쓰르
30,Glove
31,베이킹김핑퐁
32,혜돋이
33,ND989
34,고민르
35,YunHyeong
36,hoyoung
37,슈퍼헥토파스칼킥
38,RoKuOn
39,망아지
40,Serio
41,니노핑
42,이지치니지카
43,득이님
44,아기망나니
45,영만
46,할수있다
47,굉수현김장하다
48,금뷩어
49,고삶
50,이현석
51,Jason
52,만두만만세
53,삼다수는맛있어
54,자몽혀니블랙티
55,RevoIu
56,점수가뷰를만들어
57,AnonymousGamer
58,SoundVoltex
59,나르빅
60,Runatic
61,Oneframe
62,할만한데
63,이세현이애오
64,지나가는좀비
65,읾턺널릶턴
66,저높은곳으로
67,코코팜요거트맛
68,에즈
69,ADINA
70,빡성규
71,신나농
72,안녕하세여히
73,절대욘서못함
74,master13
75,배고픈예술가
76,소중히여기다
77,scarlettsisters
78,마법소녀버거땅
79,세나핀
81,서르
82,피그랑깨
84,서은설
87,TwitchNunuzz
88,병아리주의보
90,Chzzk개블빙tv123
91,스님이된김창호
92,연우에몽
93,웃는모습보여줘
94,헤이스트
95,tlasi
98,Kayoko68
99,Gables
100,탑선룰루
